hanzi,pinyin
一,yi1
七,qi1
三,san1
上,shang4
下,xia4
不,bu4
专,zhuan1
业,ye4
东,dong1
个,ge4
中,zhong1
为,wei4
主,zhu3
么,me
义,yi4
乐,le4
九,jiu3
也,ye3
习,xi2
乡,xiang1
书,shu1
买,mai3
了,le
争,zheng1
事,shi4
二,er4
五,wu3
京,jing1
亲,qin1
人,ren2
什,shen2
介,jie4
从,cong2
他,ta1
以,yi3
们,men
件,jian4
价,jia4
任,ren4
份,fen4
伊,yi1
优,you1
会,hui4
传,chuan2
伤,shang1
但,dan4
低,di1
佛,fu2
作,zuo4
你,ni3
保,bao3
信,xin4
修,xiu1
健,jian4
兄,xiong1
先,xian1
全,quan2
八,ba1
公,gong1
六,liu4
兰,lan2
关,guan1
兴,xing1
养,yang3
再,zai4
写,xie3
农,nong2
决,jue2
冷,leng3
准,zhun3
出,chu1
分,fen1
划,hua4
创,chuang4
判,pan4
利,li4
别,bie2
到,dao4
前,qian2
办,ban4
功,gong1
务,wu4
劣,lie4
动,dong4
助,zhu4
势,shi4
化,hua4
北,bei3
医,yi1
十,shi2
单,dan1
南,nan2
博,bo2
危,wei1
历,li4
去,qu4
友,you3
反,fan3
发,fa1
口,kou3
只,zhi3
叫,jiao4
可,ke3
史,shi3
右,you4
司,si1
吃,chi1
合,he2
同,tong2
名,ming2
后,hou4
吗,ma
吧,ba
听,ting1
告,gao4
员,yuan2
呢,ne
命,ming4
和,he2
品,pin3
哪,na3
哲,zhe2
唱,chang4
商,shang1
喜,xi3
喝,he1
四,si4
因,yin1
园,yuan2
困,kun4
国,guo2
图,tu2
在,zai4
地,di4
场,chang3
城,cheng2
基,ji1
境,jing4
多,duo1
大,da4
天,tian1
太,tai4
失,shi1
好,hao3
如,ru2
妹,mei4
姐,jie3
姻,yin1
婚,hun1
子,zi
字,zi4
季,ji4
学,xue2
宇,yu3
宗,zong1
宙,zhou4
定,ding4
实,shi2
室,shi4
害,hai4
家,jia1
容,rong2
对,dui4
导,dao3
小,xiao3
少,shao3
就,jiu4
居,ju1
展,zhan3
工,gong1
左,zuo3
市,shi4
师,shi1
帮,bang1
平,ping2
年,nian2
幸,xing4
广,guang3
床,chuang2
应,ying1
店,dian4
府,fu3
度,du4
康,kang1
建,jian4
开,kai1
弟,di4
当,dang1
影,ying3
很,hen3
律,lv4
得,de2
德,de2
心,xin1
志,zhi4
快,kuai4
态,tai4
怎,zen3
怕,pa4
思,si1
息,xi1
情,qing2
想,xiang3
意,yi4
感,gan3
慢,man4
成,cheng2
我,wo3
战,zhan4
戚,qi1
户,hu4
房,fang2
所,suo3
手,shou3
技,ji4
把,ba3
投,tou2
护,hu4
报,bao4
挑,tiao1
据,ju4
授,shou4
改,gai3
放,fang4
政,zheng4
效,xiao4
教,jiao4
数,shu4
文,wen2
料,liao4
断,duan4
斯,si1
新,xin1
方,fang1
旅,lv3
日,ri4
旧,jiu4
时,shi2
明,ming2
易,yi4
星,xing1
春,chun1
是,shi4
晴,qing2
最,zui4
月,yue4
有,you3
朋,peng2
服,fu2
期,qi1
术,shu4
机,ji1
杂,za2
权,quan2
材,cai2
村,cun1
条,tiao2
来,lai2
构,gou4
析,xi1
果,guo3
染,ran3
查,cha2
标,biao1
校,xiao4
样,yang4
桌,zhuo1
椅,yi3
欢,huan1
歌,ge1
此,ci3
母,mu3
比,bi3
毕,bi4
民,min2
气,qi4
水,shui3
污,wu1
汽,qi4
没,mei2
治,zhi4
法,fa3
济,ji4
海,hai3
源,yuan2
火,huo3
灯,deng1
点,dian3
炼,lian4
热,re4
然,ran2
爱,ai4
父,fu4
牌,pai2
物,wu4
特,te4
狗,gou3
猫,mao1
率,lv4
环,huan2
现,xian4
球,qiu2
理,li3
生,sheng1
用,yong4
由,you2
电,dian4
画,hua4
略,lve4
的,de
目,mu4
看,kan4
真,zhen1
督,du1
知,zhi1
短,duan3
研,yan2
社,she4
票,piao4
福,fu2
离,li2
种,zhong3
科,ke1
程,cheng2
究,jiu1
穿,chuan1
窗,chuang1
站,zhan4
竞,jing4
等,deng3
简,jian3
管,guan3
米,mi3
系,xi4
素,su4
纸,zhi3
组,zu3
织,zhi1
绍,shao4
经,jing1
结,jie2
络,luo4
统,tong3
绩,ji4
维,wei2
缺,que1
网,wang3
老,lao3
考,kao3
而,er2
肉,rou4
股,gu3
能,neng2
脑,nao3
自,zi4
舞,wu3
节,jie2
苹,ping2
茶,cha2
药,yao4
菜,cai4
营,ying2
蕉,jiao1
虽,sui1
融,rong2
行,xing2
衣,yi1
西,xi1
要,yao4
见,jian4
观,guan1
视,shi4
角,jiao3
解,jie3
计,ji4
认,ren4
讨,tao3
议,yi4
论,lun4
证,zheng4
评,ping2
识,shi2
试,shi4
话,hua4
说,shuo1
读,du2
谁,shui2
调,diao4
责,ze2
败,bai4
质,zhi4
贸,mao4
资,zi1
赛,sai4
走,zou3
起,qi3
超,chao1
跨,kua4
路,lu4
跳,tiao4
车,che1
辑,ji2
过,guo4
运,yun4
近,jin4
还,hai2
这,zhe4
进,jin4
远,yuan3
通,tong1
逻,luo2
遇,yu4
道,dao4
那,na4
邻,lin2
都,dou1
里,li3
重,zhong4
量,liang4
金,jin1
钟,zhong1
钱,qian2
销,xiao1
锻,duan4
长,zhang3
门,men2
问,wen4
间,jian1
闻,wen2
阴,yin1
际,ji4
院,yuan4
险,xian3
难,nan2
雨,yu3
雪,xue3
面,mian4
革,ge2
音,yin1
项,xiang4
领,ling3
题,ti2
风,feng1
飞,fei1
饭,fan4
馆,guan3
香,xiang1
验,yan4
高,gao1
鱼,yu2
鸡,ji1
